check_id	endpoint_a	endpoint_b	connected	mode	note	errors	hops	a_rtl	a_via_filelist	a_filelist_chain	b_rtl	b_via_filelist	b_filelist_chain
pw_deep_gen_clk_port	hc_verify_top.clk	hc_verify_top.u_gen_soc.gen_blk.gen_loop[0].u_cell.clk	True	port-port	connected; 4 module(s)		[coi] structural COI path	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/top_verify.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/leaf_cell.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/fl/cells.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f -> /home/user/tools/__CFI/hc_hierarchy/design/unified_verify/fl/cells.f
pw_deep_gen_if_cell	hc_verify_top.u_gen_if.gen_on.u_on	hc_verify_top.u_gen_if.gen_on.u_on	True	hierarchy-hierarchy	same or ancestor/descendant (no port trace)			/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/leaf_cell.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/fl/cells.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f -> /home/user/tools/__CFI/hc_hierarchy/design/unified_verify/fl/cells.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/leaf_cell.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/fl/cells.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f -> /home/user/tools/__CFI/hc_hierarchy/design/unified_verify/fl/cells.f
# modules_cached	4
