check_id	endpoint_a	endpoint_b	connected	mode	note	errors	hops	a_rtl	a_via_filelist	a_filelist_chain	b_rtl	b_via_filelist	b_filelist_chain
deep_gen_clk_port	hc_verify_top.clk	hc_verify_top.u_gen_soc.gen_blk.gen_loop[0].u_cell.clk	True	port-port	connected; 4 module(s)		[child-down] hc_verify_top:and_y -> hc_verify_top.u_gen_soc:clk (instance u_gen_soc port .clk in hc_verify_top) | [child-down] hc_verify_top.u_gen_soc:clk -> hc_verify_top.u_gen_soc.gen_blk.gen_loop[0].u_cell:clk (instance gen_blk.gen_loop[0].u_cell port .clk in mid_gen_soc)	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/top_verify.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/leaf_cell.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/fl/cells.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f -> /home/user/tools/__CFI/hc_hierarchy/design/unified_verify/fl/cells.f
deep_gen_if_cell	hc_verify_top.u_gen_if.gen_on.u_on	hc_verify_top.u_gen_if.gen_on.u_on	True	hierarchy-hierarchy	same or ancestor/descendant (no port trace)			/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/leaf_cell.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/fl/cells.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f -> /home/user/tools/__CFI/hc_hierarchy/design/unified_verify/fl/cells.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/leaf_cell.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/fl/cells.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f -> /home/user/tools/__CFI/hc_hierarchy/design/unified_verify/fl/cells.f
anchor_flat_deep	hc_verify_top.u_anchor_flat.u_chain.u_d2.u_d3	hc_verify_top.u_anchor_flat.u_chain.u_d2.u_d3.u_l	True	hierarchy-hierarchy	same or ancestor/descendant (no port trace)			/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_anchor_depth.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_anchor_depth.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
anchor_nested_deep	hc_verify_top.u_anchor_nested.u_inner.u_chain.u_d2	hc_verify_top.u_anchor_nested.u_inner.u_chain.u_d2.u_d3	True	hierarchy-hierarchy	same or ancestor/descendant (no port trace)			/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_anchor_depth.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_anchor_depth.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
# modules_cached	0
