check_id	endpoint_a	endpoint_b	connected	mode	note	errors	hops	a_rtl	a_via_filelist	a_filelist_chain	b_rtl	b_via_filelist	b_filelist_chain
anchor_flat_deep	hc_verify_top.u_anchor_flat.u_chain.u_d2.u_d3	hc_verify_top.u_anchor_flat.u_chain.u_d2.u_d3.u_l	True	hierarchy-hierarchy	same or ancestor/descendant (no port trace)			/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_anchor_depth.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_anchor_depth.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
anchor_nested_deep	hc_verify_top.u_anchor_nested.u_inner.u_chain.u_d2	hc_verify_top.u_anchor_nested.u_inner.u_chain.u_d2.u_d3	True	hierarchy-hierarchy	same or ancestor/descendant (no port trace)			/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_anchor_depth.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_anchor_depth.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
# modules_cached	0
